</S>       </s rsh 
JEVY       j e v i 
JEZ       j e s 
JEZDILA       j e z dj i l a 
JEZDILO       j e z dj i l o 
JEZDIM       j e z dj i m 
JEZDIT       j e z dj i t 
JEZDÍ       j e z dj ii 
JEZDÍME       j e z dj ii m e 
JEZDÍTE       j e z dj ii t e 
JEZDÍŠ       j e z dj ii sh 
JEZERKOU       j e z e r k ow 
JEZIDLA       j e z i d l a 
JEĎ       j e tj 
JEŠIŠ       j e sh i sh 
JEŠTĚ       j e sh tj e 
JEŠTĚMUSÍM       j e sh tj e m u s ii m 
JEŽ       j e sh 
JEŽEK       j e zh e k 
JEŽIŠ       j e zh i sh 
JEŽIŠI       j e zh i sh i 
JEŽIŠMARJA       j e zh i sh m a r j a 
JEŽIŠMARJÁ       j e zh i sh m a r j aa 
JEŽIŠÍ       j e zh i sh ii 
JEŽÍŠ       j e zh ii sh 
JI       j i 
JICH       j i x 
JIH       j i x 
JIHLAVU       j i h l a v u 
JIHLAVY       j i h l a v i 
JIHOČESKEJ       j i h o ch e s k e j 
JIM       j i m 
JIMI       j i m i 
JINAK       j i n a k 
JINAM       j i n a m 
JINAČ       j i n a ch 
JINDE       j i n d e 
JINDRA       j i n d r a 
JINDY       j i n d i 
JINDŘICHU       j i n d rzh i x u 
JINDŘIŠSKÁ       j i n d rzh i sh s k aa 
JINDŘIŠSKÉ       j i n d rzh i sh s k ee 
JINEJ       j i n e j 
JINEJCH       j i n e j x 
JINONIC       j i n o nj i c 
JINONICE       j i n o nj i c e 
JINONICKA       j i n o nj i c k a 
JINONICKÁ       j i n o nj i c k aa 
JINOU       j i n ow 
JINYM       j i n i m 
JINÁ       j i n aa 
JINÁČ       j i n aa ch 
JINÉ       j i n ee 
JINÉHO       j i n ee h o 
JINÉM       j i n ee m 
JINÍ       j i nj ii 
JINÝ       j i n ii 
JINÝCH       j i n ii x 
JINÝHO       j i n ii h o 
JINÝM       j i n ii m 
JINÝMI       j i n ii m i 
JIRKOU       j i r k ow 
JIRKOVI       j i r k o v i 
JIRKU       j i r k u 
JIRÁSKOVÉM       j i r aa s k o v ee m 
JISTEBNÍKŮM       j i s t e b nj ii k uu m 
JISTEJ       j i s t e j 
JISTOTOU       j i s t o t ow 
JISTOTU       j i s t o t u 
JISTÁ       j i s t aa 
JISTÉ       j i s t ee 
JISTÍ       j i s tj ii 
JISTÝ       j i s t ii 
JISTĚ       j i s tj e 
JIZERSKÝCH       j i z e r s k ii x 
JIZVU       j i z v u 
JIŘKO       j i rsh k o 
JIŘÍ       j i rzh ii 
JIŘÍHO       j i rzh ii h o 
JIŽ       j i sh 
JIŽNÍ       j i zh nj ii 
JIŽNÍCH       j i zh nj ii x 
JIŽNÍHO       j i zh nj ii h o 
JJO       j o 
JMENOVALA       j m e n o v a l a 
JMENOVAT       j m e n o v a t 
JMENOVKYNĚ       j m e n o f k i nj e 
JMENOVÁN       j m e n o v aa n 
JMENUJE       j m e n u j e 
JMÉNA       j m ee n a 
JMÉNEM       j m ee n e m 
JMÉNO       j m ee n o 
JMÉNY       j m ee n i 
JMĚNÍ       j m nj e nj ii 
JNO       j n o 
JO       j o 
JOA       j o a 
JOGURT       j o g u r t 
JOGURTEM       j o g u r t e m 
JOGURTU       j o g u r t u 
JOGURTY       j o g u r t i 
JOJO       j o j o 
JOKO       j o k o 
JOM       j o m 
JOP       j o p 
JOSEF       j o s e f 
JOSÍFKEM       j o s ii f k e m 
JSE       j s e 
JSEK       j s e k 
JSEM       j s e m 
JSETLI       j s e t l i 
JSI       j s i 
JSM       j s m 
JSMA       j s m a 
JSME       j s m e 
JSOU       j s ow 
JSTE       j s t e 
JSTĚ       j s tj e 
JU       j u 
JUBILEJNÍ       j u b i l e j nj ii 
JUGOSLÁVIE       j u g o s l aa v i e 
JUNIORSKÉ       j u nj i o r s k ee 
JURČÍČEK       j u r ch ii ch e k 
JUSTIČNÍ       j u s tj i ch nj ii 
JÁ       j aa 
JÁCHYMOVĚ       j aa x i m o v j e 
JÁGR       j aa g r 
JÁM       j aa m 
JÁRA       j aa r a 
JÁRO       j aa r o 
JÁRU       j aa r u 
JÉ       j ee 
JÉŘIŠ       j ee rzh i sh 
JÉŽIŠ       j ee zh i sh 
JÉŽÍŠ       j ee zh ii sh 
JÍ       j ii 
JÍDEL       j ii d e l 
JÍDELNA       j ii d e l n a 
JÍDELNY       j ii d e l n i 
JÍDELNÍ       j ii d e l nj ii 
JÍDELNÍHO       j ii d e l nj ii h o 
JÍDELNĚ       j ii d e l nj e 
JÍDLA       j ii d l a 
JÍDLE       j ii d l e 
JÍDLEM       j ii d l e m 
JÍDLENĚ       j ii d l e nj e 
JÍDLO       j ii d l o 
JÍDLU       j ii d l u 
JÍLA       j ii l a 
JÍM       j ii m 
JÍST       j ii s t 
JÍT       j ii t 
JÍZDENKU       j ii z d e ng k u 
JÍZDNÉ       j ii z d n ee 
JÍZDNÍ       j ii z d nj ii 
JÍŠ       j ii sh 
JÍŽNÍCH       j ii zh nj ii x 
JÓ       j o 
JÓGA       j o g a 
JÓGY       j o g i 
JÚ       j uu 
JŠLA       j sh l a 
JŮ       j uu 
K       k 
KABEL       k a b e l 
KABELOVNY       k a b e l o v n i 
KABINETĚ       k a b i n e tj e 
KABINÁCH       k a b i n aa x 
KABÍLEK       k a b ii l e k 
KADEŘNICE       k a d e rzh nj i c e 
KADIL       k a dj i l 
KADLEC       k a d l e c 
KAFE       k a f e 
KAISERKY       k a i s e r k i 
KAJAK       k a j a k 
KAJAKU       k a j a k u 
KALENDÁŘE       k a l e n d aa rzh e 
KALHOTECH       k a l h o t e x 
KALHOTY       k a l h o t i 
KALIFORNSKÝ       k a l i f o r n s k ii 
KALKULACE       k a l k u l a c e 
KALKULAČKA       k a l k u l a ch k a 
KALKULOVAT       k a l k u l o v a t 
KALUŽE       k a l u zh e 
KALÍ       k a l ii 
KAM       k a m 
KAMARÁD       k a m a r aa t 
KAMARÁDA       k a m a r aa d a 
KAMARÁDAMA       k a m a r aa d a m a 
KAMARÁDEM       k a m a r aa d e m 
KAMARÁDI       k a m a r aa dj i 
KAMARÁDKA       k a m a r aa t k a 
KAMARÁDKY       k a m a r aa t k i 
KAMARÁDOVI       k a m a r aa d o v i 
KAMARÁDÍ       k a m a r aa dj ii 
KAMARÁDÍŠ       k a m a r aa dj ii sh 
KAMARÁDŮ       k a m a r aa d uu 
KAMBERSKÁ       k a m b e r s k aa 
KAMBERSKÝ       k a m b e r s k ii 
KAMENE       k a m e n e 
KAMENEM       k a m e n e m 
KAMENICKÁ       k a m e nj i c k aa 
KAMENNÉ       k a m e n ee 
KAMENY       k a m e n i 
KAMERU       k a m e r u 
KAMPU       k a m p u 
KAMS       k a m s 
KAMČA       k a m ch a 
KAMČOU       k a m ch ow 
KAMČU       k a m ch u 
KANADA       k a n a d a 
KANADSKÝ       k a n a t s k ii 
KANADU       k a n a d u 
KANADY       k a n a d i 
KANADĚ       k a n a dj e 
KANCELÁŘE       k a n c e l aa rzh e 
KANCELÁŘI       k a n c e l aa rzh i 
KANCLU       k a n c l u 
KANDIDOVAT       k a n d i d o v a t 
KANDIDÁTŮ       k a n d i d aa t uu 
KANTOR       k a n t o r 
KANTOROVO       k a n t o r o v o 
KANÁL       k a n aa l 
KANÁRA       k a n aa r a 
KANÁRY       k a n aa r i 
KANÁŘI       k a n aa rzh i 
KAPEK       k a p e k 
KAPELY       k a p e l i 
KAPITALISMUS       k a p i t a l i s m u s 
KAPITOLA       k a p i t o l a 
KAPITOLU       k a p i t o l u 
KAPITOLY       k a p i t o l i 
KAPITÁLEM       k a p i t aa l e m 
KAPITÁLOVÝ       k a p i t aa l o v ii 
KAPITÁNA       k a p i t aa n a 
KAPKA       k a p k a 
KAPKY       k a p k i 
KAPSY       k a p s i 
KAPUCU       k a p u c u 
KARAMBOL       k a r a m b o l 
KARBENÁTKY       k a r b e n aa t k i 
KARDEOLOGII       k a r d e o l o g i i 
KARDINÁL       k a r d i n aa l 
KARDIOLOGII       k a r d i o l o g i i 
KARDIOLOGŮ       k a r d i o l o g uu 
KARET       k a r e t 
KARI       k a r i 
KARIMATKU       k a r i m a t k u 
KARIÉRU       k a r i ee r u 
KARLOV       k a r l o f 
KARLOVA       k a r l o v a 
KARLOVEJM       k a r l o v e j m 
KARLOVO       k a r l o v o 
KARLOVU       k a r l o v u 
KARLOVY       k a r l o v i 
KARLOVÉ       k a r l o v ee 
KARLOVÝCH       k a r l o v ii x 
KARLOVĚ       k a r l o v j e 
KARLÁKU       k a r l aa k u 
KARLÍNSKÉM       k a r l ii n s k ee m 
KARNEVALU       k a r n e v a l u 
KAROLI       k a r o l i 
KAROLINY       k a r o l i n i 
KARTAMA       k a r t a m a 
KARTU       k a r t u 
KARTY       k a r t i 
KARTÁČEK       k a r t aa ch e k 
KASAL       k a s a l 
KASPAROV       k a s p a r o f 
KASTROL       k a s t r o l 
KASTROLA       k a s t r o l a 
KASÁRNÁCH       k a s aa r n aa x 
KATAPLEXE       k a t a p l e k s e 
KATASTROFY       k a t a s t r o f i 
KATEDRY       k a t e d r i 
KATEDRÁLA       k a t e d r aa l a 
KATEGORIE       k a t e g o r i e 
KATOLÍCI       k a t o l ii c i 
KATOLÍKŮ       k a t o l ii k uu 
KATOVICKÁ       k a t o v i c k aa 
KAUFLAND       k aw f l a n t 
KAUFLANDU       k aw f l a n d u 
KAUFLANDĚ       k aw f l a nj dj e 
KAUZE       k aw z e 
KAUZY       k aw z i 
KAVÁRNU       k a v aa r n u 
KAVÁRNY       k a v aa r n i 
KAVÁRNĚ       k a v aa r nj e 
KAZACHŽSKÝCH       k a z a x sh s k ii x 
KAČENKU       k a ch e ng k u 
KAČENY       k a ch e n i 
KAČENÁM       k a ch e n aa m 
KAČENÍ       k a ch e nj ii 
KAČEROV       k a ch e r o f 
KAČKA       k a ch k a 
KAČKOU       k a ch k ow 
KAĎ       k a tj 
KAŠI       k a sh i 
KAŠTAN       k a sh t a n 
KAŠTANŮ       k a sh t a n uu 
KAŠU       k a sh u 
KAŽDEJ       k a zh d e j 
KAŽDEJCH       k a zh d e j x 
KAŽDOPÁDNĚ       k a zh d o p aa d nj e 
KAŽDOROČNĚ       k a zh d o r o ch nj e 
KAŽDOU       k a zh d ow 
KAŽDYM       k a zh d i m 
KAŽDÁ       k a zh d aa 
KAŽDÉ       k a zh d ee 
KAŽDÉHO       k a zh d ee h o 
KAŽDÉM       k a zh d ee m 
KAŽDÉMU       k a zh d ee m u 
KAŽDÝ       k a zh d ii 
KAŽDÝHO       k a zh d ii h o 
KAŽDÝM       k a zh d ii m 
KDE       g d e 
KDES       g d e s 
KDESI       g d e s i 
KDESIK       g d e s i k 
KDEŽE       g d e zh e 
KDEŽTO       g d e sh t o 
KDO       g d o 
KDOSI       g d o s i 
KDOSIK       g d o s i k 
KDY       g d i 
KDYBY       g d i b i 
KDYBYCH       g d i b i x 
KDYBYCHOM       g d i b i x o m 
KDYBYS       g d i b i s 
KDYBYSME       g d i b i s m e 
KDYBYSTE       g d i b i s t e 
KDYCH       g d i x 
KDYKOLI       g d i k o l i 
KDYKOLIV       g d i k o l i f 
KDYPA       g d i p a 
KDYPAK       g d i p a k 
KDYS       g d i s 
KDYSI       g d i s i 
KDYŤ       g d i tj 
KDYŽ       g d i sh 
KDYŽS       g d i sh s 
KDYŽTAK       g d i sh t a k 
KE       k e 
KEC       k e c 
KECAJ       k e c a j 
KECALA       k e c a l a 
KECALY       k e c a l i 
KECAT       k e c a t 
KECY       k e c i 
KECÁ       k e c aa 
KECÁŠ       k e c aa sh 
KEJVNUL       k e j v n u l 
KELU       k e l u 
KEMPEM       k e m p e m 
KENEDYHO       k e n e d i h o 
KERAMICE       k e r a m i c e 
KERAMICKÝHO       k e r a m i c k ii h o 
KERAMIKA       k e r a m i k a 
KERAMIKU       k e r a m i k u 
KERAMIKY       k e r a m i k i 
KEREJMA       k e r e j m a 
KEVE       k e v e 
KEVIN       k e v i n 
KEVINA       k e v i n a 
KEVINE       k e v i n e 
KEVINO       k e v i n o 
KEVOU       k e v ow 
KEŘAMA       k e rzh a m a 
KIKININ       k i k i nj i n 
KIKINU       k i k i n u 
KILA       k i l a 
KILO       k i l o 
KILOGRAMŮ       k i l o g r a m uu 
KILOMETRU       k i l o m e t r u 
KILOMETRŮ       k i l o m e t r uu 
KILOVÝ       k i l o v ii 
KILČO       k i l ch o 
KINA       k i n a 
KINO       k i n o 
KINTERY       k i n t e r i 
KINĚ       k i nj e 
KIRIL       k i r i l 
KIRILKOVI       k i r i l k o v i 
KIRÍLEK       k i r ii l e k 
KLADNEM       k l a d n e m 
KLADNO       k l a d n o 
KLAMOVKA       k l a m o f k a 
KLAMOVKOU       k l a m o f k ow 
KLAMOVKU       k l a m o f k u 
KLAN       k l a n 
KLANĚL       k l a nj e l 
KLAPNE       k l a p n e 
KLASICKY       k l a s i c k i 
KLASICKÝM       k l a s i c k ii m 
KLASIFIKOVÁN       k l a s i f i k o v aa n 
KLAUS       k l aw s 
KLAVÍRNÍM       k l a v ii r nj ii m 
KLECI       k l e c i 
KLEKAČCE       k l e k a ch c e 
KLEKAČKU       k l e k a ch k u 
KLEKNOUT       k l e k n ow t 
KLEKNUTÍ       k l e k n u tj ii 
KLEPU       k l e p u 
KLESLO       k l e s l o 
KLESNE       k l e s n e 
KLESNOUT       k l e s n ow t 
KLESÁ       k l e s aa 
KLID       k l i t 
KLIDNÁ       k l i d n aa 
KLIDNÉ       k l i d n ee 
KLIDNÝ       k l i d n ii 
KLIDNĚ       k l i d nj e 
KLIDOVEJ       k l i d o v e j 
KLIDU       k l i d u 
KLIENTELU       k l i e n t e l u 
KLIENTŮM       k l i e n t uu m 
KLIKNOUT       k l i k n ow t 
KLIKÁŠ       k l i k aa sh 
KLIMATIZACI       k l i m a t i z a c i 
KLIMOŠKA       k l i m o sh k a 
KLINICKÉ       k l i nj i c k ee 
KLINIKY       k l i nj i k i 
KLIČKY       k l i ch k i 
KLOBOUK       k l o b ow k 
KLOKTADLA       k l o k t a d l a 
KLOKTADLEM       k l o k t a d l e m 
KLOKTADLO       k l o k t a d l o 
KLOUBAMA       k l ow b a m a 
KLUB       k l u p 
KLUBU       k l u b u 
KLUCI       k l u c i 
KLUK       k l u k 
KLUKA       k l u k a 
KLUKAMA       k l u k a m a 
KLUKEM       k l u k e m 
KLUKY       k l u k i 
KLÁRA       k l aa r a 
KLÁRŮV       k l aa r uu f 
KLÁVESNICI       k l aa v e s nj i c i 
KLÁŠTERA       k l aa sh t e r a 
KLÍNĚ       k l ii nj e 
KLÍZET       k l ii z e t 
KLÍČE       k l ii ch e 
KLÍĎO       k l ii dj o 
KLÍŠŤATA       k l ii sh tj a t a 
KLÍŠŤÁKA       k l ii sh tj aa k a 
KMOTREM       k m o t r e m 
KNEDLÍKAMA       k n e d l ii k a m a 
KNEDLÍKY       k n e d l ii k i 
KNIH       k nj i x 
KNIHOVNA       k nj i h o v n a 
KNIHOVNIČKU       k nj i h o v nj i ch k u 
KNIHOVNU       k nj i h o v n u 
KNIHOVNĚ       k nj i h o v nj e 
KNIHY       k nj i h i 
KNOVÍSKÁ       k n o v ii s k aa 
KNOVÍZSKÁ       k n o v ii s k aa 
KNÍŽCE       k nj ii sh c e 
KNÍŽEK       k nj ii zh e k 
KNÍŽKA       k nj ii sh k a 
KNÍŽKAMA       k nj ii sh k a m a 
KNÍŽKOU       k nj ii sh k ow 
KNÍŽKU       k nj ii sh k u 
KNÍŽKY       k nj ii sh k i 
KOALICE       k o a l i c e 
KOALICI       k o a l i c i 
KOBERCE       k o b e r c e 
KOBULO       k o b u l o 
KOBYLIS       k o b i l i s 
KOBYLISY       k o b i l i s i 
KOCOUR       k o c ow r 
KOCOURA       k o c ow r a 
KOCOUREM       k o c ow r e m 
KOCÚŘI       k o c uu rzh i 
KOD       k o t 
KOFOLU       k o f o l u 
KOH       k o x 
KOHINOR       k o h i n o r 
KOHINORKA       k o h i n o r k a 
KOHO       k o h o 
KOHOS       k o h o s 
KOHOUTEK       k o h ow t e k 
KOHOUTKU       k o h ow t k u 
KOKOSU       k o k o s u 
KOKTEJL       k o k t e j l 
KOKTÁM       k o k t aa m 
KOLA       k o l a 
KOLABOVAL       k o l a b o v a l 
KOLABOVAT       k o l a b o v a t 
KOLACH       k o l a x 
KOLE       k o l e 
KOLEGOU       k o l e g ow 
KOLEGY       k o l e g i 
KOLEGYNĚ       k o l e g i nj e 
KOLEJ       k o l e j 
KOLEJE       k o l e j e 
KOLEJI       k o l e j i 
KOLEJÍ       k o l e j ii 
KOLEJÍCH       k o l e j ii x 
KOLEKTIV       k o l e k tj i f 
KOLEM       k o l e m 
KOLENA       k o l e n a 
KOLENO       k o l e n o 
KOLEČKA       k o l e ch k a 
KOLEČKO       k o l e ch k o 
KOLEČKÁCH       k o l e ch k aa x 
KOLIK       k o l i k 
KOLIKA       k o l i k a 
KOLIKRÁT       k o l i k r aa t 
KOLIKÁTEJ       k o l i k aa t e j 
KOLIKÁTÉHO       k o l i k aa t ee h o 
KOLIKÁTÝ       k o l i k aa t ii 
KOLO       k o l o 
KOLONIE       k o l o n i e 
KOLONII       k o l o n i i 
KOLONY       k o l o n i 
KOLOVALO       k o l o v a l o 
KOLOVČE       k o l o f ch e 
KOLÁCH       k o l aa x 
KOLÁČ       k o l aa ch 
KOLÁŘOVĚ       k o l aa rzh o v j e 
KOLÍNA       k o l ii n a 
KOMBINOVANEJ       k o m b i n o v a n e j 
KOMENTOVALA       k o m e n t o v a l a 
KOMENTÁŘ       k o m e n t aa rsh 
KOMERČNÍ       k o m e r ch nj ii 
KOMERČNÍMA       k o m e r ch nj ii m a 
KOMICKY       k o m i c k i 
KOMISE       k o m i s e 
KOMISI       k o m i s i 
KOMNATY       k o m n a t i 
KOMORNÍ       k o m o r nj ii 
KOMORU       k o m o r u 
KOMORY       k o m o r i 
KOMPENZOVAT       k o m p e n z o v a t 
KOMPLETNÍ       k o m p l e t nj ii 
KOMPLIKACE       k o m p l i k a c e 
KOMPLŮ       k o m p l uu 
KOMPOT       k o m p o t 
KOMU       k o m u 
KOMUNIKACE       k o m u n i k a c e 
KOMUNIKACI       k o m u n i k a c i 
KOMUNIKACÍCH       k o m u n i k a c ii x 
KOMUNIKATIVNÍ       k o m u n i k a tj i v nj ii 
KOMUNIKOVAT       k o m u n i k o v a t 
KOMUNISTICKÝ       k o m u n i s t i c k ii 
KOMUNÁLNÍCH       k o m u n aa l nj ii x 
KOMÁRŮ       k o m aa r uu 
KONCE       k o n c e 
KONCEM       k o n c e m 
KONCEPT       k o n c e p t 
KONCEPTU       k o n c e p t u 
KONCER       k o n c e r 
KONCERNU       k o n c e r n u 
KONCERT       k o n c e r t 
KONCERTU       k o n c e r t u 
KONCI       k o n c i 
KONCIPOVÁNA       k o n c i p o v aa n a 
KONCOVKA       k o n c o f k a 
KONDICE       k o n d i c e 
KONDOLOVALA       k o n d o l o v a l a 
KONDOM       k o n d o m 
KONEC       k o n e c 
KONEČNÁ       k o n e ch n aa 
KONEČNÝCH       k o n e ch n ii x 
KONEČNĚ       k o n e ch nj e 
KONFEDERACE       k o n f e d e r a c e 
KONFEDERACÍ       k o n f e d e r a c ii 
KONFERENCE       k o n f e r e n c e 
KONFERENCI       k o n f e r e n c i 
KONFERENCÍ       k o n f e r e n c ii 
KONFERENCÍCH       k o n f e r e n c ii x 
KONFEŘE       k o n f e rzh e 
KONFLIKTU       k o n f l i k t u 
KONFLIKTY       k o n f l i k t i 
KONFRONTACE       k o n f r o n t a c e 
KONFRONTACI       k o n f r o n t a c i 
KONKRÉTNÍ       k o ng k r ee t nj ii 
KONKRÉTNÍM       k o ng k r ee t nj ii m 
KONKURENCE       k o ng k u r e n c e 
KONKURZ       k o ng k u r s 
KONSTALACE       k o n s t a l a c e 
KONTAKT       k o n t a k t 
KONTAKTU       k o n t a k t u 
KONTROLA       k o n t r o l a 
KONTROLOU       k o n t r o l ow 
KONTROLOVAT       k o n t r o l o v a t 
KONTROLU       k o n t r o l u 
KONTROLY       k o n t r o l i 
KONVICE       k o n v i c e 
KONVICU       k o n v i c u 
KONZERVATIVNĚ       k o n z e r v a tj i v nj e 
KONZULTACE       k o n z u l t a c e 
KONZULTACI       k o n z u l t a c i 
KONZULTING       k o n z u l t i ng k 
KONZULTOVAT       k o n z u l t o v a t 
KONÁ       k o n aa 
KONÍČKY       k o nj ii ch k i 
KONČILA       k o n ch i l a 
KONČINÁCH       k o n ch i n aa x 
KONČIT       k o n ch i t 
KONČÍ       k o n ch ii 
KONČÍME       k o n ch ii m e 
KONĚ       k o nj e 
KONĚM       k o nj e m 
KOOPERATIVY       k o o p e r a tj i v i 
KOOPEROVAT       k o o p e r o v a t 
KOPALI       k o p a l i 
KOPAT       k o p a t 
KOPCE       k o p c e 
KOPEČKY       k o p e ch k i 
KOPU       k o p u 
KOPYTA       k o p i t a 
KOPYTO       k o p i t o 
KOPÍROVAT       k o p ii r o v a t 
KOR       k o r 
KORBA       k o r b a 
KORD       k o r t 
KOREI       k o r e i 
KOREKTURY       k o r e k t u r i 
KORNEL       k o r n e l 
KORPORACÍCH       k o r p o r a c ii x 
KORPUSY       k o r p u s i 
KORUN       k o r u n 
KORUNAMA       k o r u n a m a 
KORUNY       k o r u n i 
KORYTA       k o r i t a 
KORZETY       k o r z e t i 
KORÁLKÁRNA       k o r aa l k aa r n a 
KORÁLKŮ       k o r aa l k uu 
KOSI       k o s i 
KOSTEL       k o s t e l 
KOSTELCE       k o s t e l c e 
KOSTELE       k o s t e l e 
KOSTELY       k o s t e l i 
KOSTEM       k o s t e m 
KOSTI       k o s tj i 
KOSTIČKOVANÝ       k o s tj i ch k o v a n ii 
KOSTIČKY       k o s tj i ch k i 
KOTEL       k o t e l 
KOTLÁŘKA       k o t l aa rsh k a 
KOTNÍKAMA       k o t nj ii k a m a 
KOTNÍČKOVÝ       k o t nj ii ch k o v ii 
KOTOUČKY       k o t ow ch k i 
KOTVY       k o t v i 
KOUDELÍ       k ow d e l ii 
KOUKA       k ow k a 
KOUKAL       k ow k a l 
KOUKALA       k ow k a l a 
KOUKALI       k ow k a l i 
KOUKAM       k ow k a m 
KOUKAT       k ow k a t 
KOUKL       k ow k l 
KOUKLA       k ow k l a 
KOUKNE       k ow k n e 
KOUKNI       k ow k nj i 
KOUKNOU       k ow k n ow 
KOUKNOUT       k ow k n ow t 
KOUKNU       k ow k n u 
KOUKNUL       k ow k n u l 
KOUKÁ       k ow k aa 
KOUKÁM       k ow k aa m 
KOULEM       k ow l e m 
KOULÍ       k ow l ii 
KOUPALA       k ow p a l a 
KOUPALIŠTĚ       k ow p a l i sh tj e 
KOUPAT       k ow p a t 
KOUPE       k ow p e 
KOUPELNĚ       k ow p e l nj e 
KOUPENÉ       k ow p e n ee 
KOUPENÝ       k ow p e n ii 
KOUPI       k ow p i 
KOUPIL       k ow p i l 
KOUPILA       k ow p i l a 
KOUPILI       k ow p i l i 
KOUPIM       k ow p i m 
KOUPIT       k ow p i t 
KOUPÁKU       k ow p aa k u 
KOUPÍ       k ow p ii 
KOUPÍM       k ow p ii m 
KOUPÍME       k ow p ii m e 
KOUPÍŠ       k ow p ii sh 
KOUSEK       k ow s e k 
KOUSKOVANÝ       k ow s k o v a n ii 
KOUSKOVATĚ       k ow s k o v a tj e 
KOUSKÁCH       k ow s k aa x 
KOUŘEM       k ow rzh e m 
KOUŘILA       k ow rzh i l a 
KOUŘILY       k ow rzh i l i 
KOUŘIM       k ow rzh i m 
KOUŘIT       k ow rzh i t 
KOVOŠINI       k o v o sh i nj i 
KOVÁŘ       k o v aa rsh 
KOZLOVIC       k o z l o v i c 
KOZLOVICE       k o z l o v i c e 
KOZLOVICÍCH       k o z l o v i c ii x 
KOZÁCI       k o z aa c i 
KOČIČKU       k o ch i ch k u 
KOČIČÍ       k o ch i ch ii 
KOČKA       k o ch k a 
KOČKO       k o ch k o 
KOČKU       k o ch k u 
KOČKY       k o ch k i 
KOČKÁCH       k o ch k aa x 
KOČÁREK       k o ch aa r e k 
KOČÁRKEM       k o ch aa r k e m 
KOŇSKÝ       k o nj s k ii 
KOŘENŮ       k o rzh e n uu 
KOŠ       k o sh 
KOŠE       k o sh e 
KOŠILE       k o sh i l e 
KOŠILI       k o sh i l i 
KOŠTĚ       k o sh tj e 
KOŠÁCH       k o sh aa x 
KOŠÍK       k o sh ii k 
KOŠÍŘE       k o sh ii rzh e 
KOŠŮ       k o sh uu 
KOŤATA       k o tj a t a 
KOŽAŘŮ       k o zh a rzh uu 
KOŽNÍ       k o zh nj ii 
KRABICE       k r a b i c e 
KRABICI       k r a b i c i 
KRABICÍCH       k r a b i c ii x 
KRABIČCE       k r a b i ch c e 
KRABIČKY       k r a b i ch k i 
KRAJANŮM       k r a j a n uu m 
KRAJI       k r a j i 
KRAJINA       k r a j i n a 
KRAJINĚ       k r a j i nj e 
KRAJNÍ       k r a j nj ii 
KRAJNÍM       k r a j nj ii m 
KRAJÍČEK       k r a j ii ch e k 
KRATKYM       k r a t k i m 
KRATŠÍ       k r a t sh ii 
KRAVINY       k r a v i n i 
KRAVINĚ       k r a v i nj e 
KRAVÁL       k r a v aa l 
KRAŤASÁCH       k r a tj a s aa x 
KREDIT       k r e d i t 
KREDITNÍCH       k r e d i t nj ii x 
KREDITU       k r e d i t u 
KREMATORIEM       k r e m a t o r i e m 
KRESLÍ       k r e s l ii 
KREV       k r e f 
KREVNÍCH       k r e v nj ii x 
KRISTE       k r i s t e 
KRITÉRIA       k r i t ee r i a 
KRIZE       k r i z e 
KRK       k r k 
KRKEM       k r k e m 
KRKU       k r k u 
KRMENÍ       k r m e nj ii 
KRMIT       k r m i t 
KROKY       k r o k i 
KROM       k r o m 
KROMĚ       k r o m nj e 
KROSNU       k r o s n u 
KROUPA       k r ow p a 
KROUTÍ       k r ow tj ii 
KROUŽKU       k r ow sh k u 
KRUH       k r u x 
KRUHEM       k r u h e m 
KRUHU       k r u h u 
KRUHŮ       k r u h uu 
KRUMLOVA       k r u m l o v a 
KRUPICE       k r u p i c e 
KRUŽNICE       k r u zh nj i c e 
KRVAVÉ       k r v a v ee 
KRVE       k r v e 
KRVI       k r v i 
KRVÁCEL       k r v aa c e l 
KRVÁCET       k r v aa c e t 
KRVÍNKY       k r v ii ng k i 
KRZ       k r s 
KRÁL       k r aa l 
KRÁMKU       k r aa m k u 
KRÁMU       k r aa m u 
KRÁMY       k r aa m i 
KRÁSNEJ       k r aa s n e j 
KRÁSNOU       k r aa s n ow 
KRÁSNÁ       k r aa s n aa 
KRÁSNÉ       k r aa s n ee 
KRÁSNÉHO       k r aa s n ee h o 
KRÁSNÝ       k r aa s n ii 
KRÁSNĚ       k r aa s nj e 
KRÁSO       k r aa s o 
KRÁT       k r aa t 
KRÁTCE       k r aa t c e 
KRÁTER       k r aa t e r 
KRÁTKEJ       k r aa t k e j 
KRÁTKODOBÝM       k r aa t k o d o b ii m 
KRÁTKOU       k r aa t k ow 
KRÁTKÝ       k r aa t k ii 
KRÁTÍ       k r aa tj ii 
KRÁVA       k r aa v a 
KRÉM       k r ee m 
KRÝT       k r ii t 
KRČ       k r ch 
KRČSKÁ       k r ch s k aa 
KRŮTÍHO       k r uu tj ii h o 
KTEREJ       k t e r e j 
KTEREJMA       k t e r e j m a 
KTEROU       k t e r ow 
KTERÁ       k t e r aa 
KTERÉ       k t e r ee 
KTERÉHO       k t e r ee h o 
KTERÉM       k t e r ee m 
KTERÝ       k t e r ii 
KTERÝCH       k t e r ii x 
KTERÝHO       k t e r ii h o 
KTERÝKOLIV       k t e r ii k o l i f 
KTERÝM       k t e r ii m 
KTEŘÍ       k t e rzh ii 
KUBA       k u b a 
KUBU       k u b u 
